0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:33 +0530] "GET /api/getGodown/1 HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:33 +0530] "GET /api/getGodownHead/2 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:39 +0530] "GET /api/getGodownHead/2 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:39 +0530] "GET /api/getGodown/1 HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:41 +0530] "GET /api/getGodownHead/2 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:41 +0530] "GET /api/getGodown/1 HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:43 +0530] "GET /api/getGodownHead/2 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:43 +0530] "GET /api/getGodown/1 HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:50 +0530] "GET /api/getGodownHead/2 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:50 +0530] "GET /api/getGodown/1 HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:55 +0530] "GET /api/getGodown/2 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:55 +0530] "GET /api/getGodownHead/3 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:57 +0530] "GET /api/getGodownHead/4 HTTP/1.1" 400 16
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:13:57 +0530] "GET /api/getGodown/3 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [04/Apr/2024:00:14:20 +0530] "GET /api/getGodownHead/1 HTTP/1.1" 200 248
